source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,580000,12554,46.2,2.0,2,wtórny,1,,2025-03-30,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-w-centrum-starego-ursusa-ID4wncv,Przytulne Mieszkanie W Centrum Starego Ursusa,ul. Bohaterów Warszawy,Skorosze,Ursus,mazowieckie
otodom,,,124.77,5.0,1,pierwotny,1,5-pokojowe mieszkanie numer B.4 na 1. piętrze w budynku B w Inwestycji Wiązana Residence Dewelopera Linden Property,2025-03-30,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-124m2-balkon-ID4u8Wy,5-pokojowe mieszkanie 124m2 + balkon,ul. Wiązana,Zerzeń,Wawer,mazowieckie
otodom,3150000,26923,117.0,4.0,4,wtórny,1,,2025-03-30,https://www.otodom.pl/pl/oferta/wyjatkowy-penthouse-z-tarasem-106-m2-w-wilanowie-ID4webk,Wyjątkowy Penthouse Z Tarasem (106 M2) W Wilanowie,Błonia Wilanowskie,Błonia Wilanowskie,Wilanów,mazowieckie
otodom,,,92.85,4.0,1,pierwotny,1,4-pokojowe mieszkanie numer B01.L2 na 1. piętrze w Inwestycji Rokokowa Vita Dewelopera DEVELIA,2025-03-30,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-2-balkony-ID4uEDq,4-pokojowe mieszkanie 92m2 + 2 balkony,ul. Rokokowa,Huta,Bielany,mazowieckie
otodom,,,78.7,3.0,2,pierwotny,1,3-pokojowe mieszkanie numer F1.B.02.05 na 2. piętrze w Inwestycji Splot Wola Dewelopera Matexi Polska,2025-03-30,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-78m2-loggia-ID4wCbi,3-pokojowe mieszkanie 78m2 + loggia,ul. Goleszowska,Odolany,Wola,mazowieckie
otodom,849000,12653,67.1,3.0,,wtórny,1,,2025-03-30,https://www.otodom.pl/pl/oferta/wyszogrodzka-3-4-pokoje-67-m2-metro-park-ID4uDYi,Wyszogrodzka 3-4 pokoje 67 m2 Metro Park,ul. Wyszogrodzka,Bródno,Targówek,mazowieckie
otodom,1679000,28948,58.0,2.0,,wtórny,1,,2025-03-30,https://www.otodom.pl/pl/oferta/bezposrednio-apartament-ID4sSKj,Bezpośrednio Apartament,ul. Chłodna,Mirów,Wola,mazowieckie
otodom,,,59.52,3.0,2,pierwotny,1,3-pokojowe mieszkanie numer SV/39 na 2. piętrze w Inwestycji Sikorskiego Vita Dewelopera DEVELIA,2025-03-30,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-balkon-bez-prowizji-ID4uo5J,3-pokojowe mieszkanie 59m2 + balkon Bez Prowizji,al. Aleja gen. Władysława Sikorskiego 7,Stegny,Mokotów,mazowieckie
otodom,718000,17276,41.56,2.0,,pierwotny,1,,2025-03-30,https://www.otodom.pl/pl/oferta/nowe-mieszkania-w-kameralnym-budynku-na-goclawku-ID4sSJ5,Nowe Mieszkania w kameralnym budynku na Gocławku,ul. Zapałczana 4,Gocławek,Praga-Południe,mazowieckie
otodom,1245000,23741,52.44,2.0,,wtórny,1,,2025-03-30,https://www.otodom.pl/pl/oferta/solec-2-pokoje-z-kominkiem-ID4wbyA,Solec - 2 pokoje z kominkiem,ul. Szara,Solec,Śródmieście,mazowieckie
