source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,3248700,24500,132.6,4.0,3,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/apartament-4p-ul-stawki-taras-na-dachu-ID4u2IV,Apartament 4p ul. Stawki | Taras na dachu !,Muranów,Muranów,Śródmieście,mazowieckie
otodom,579099,15381,37.65,2.0,0,pierwotny,1,2-pokojowe mieszkanie numer 8-15-D072 na parterze w budynku 15 w Inwestycji Miasto Moje Dewelopera RONSON DEVELOPMENT,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-ID4umNv,2-pokojowe mieszkanie 37m2 + ogródek,ul. Marywilska 60,Żerań,Białołęka,mazowieckie
otodom,802135,13630,58.85,3.0,1,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/nowe-rozne-rozklady-skm-tramwaj-pkp-ID4wqZM,"Nowe // Różne Rozkłady // Skm, Tramwaj, Pkp",ul. Żupnicza,Grochów,Praga-Południe,mazowieckie
otodom,,,60.87,3.0,2,pierwotny,1,3-pokojowe mieszkanie numer 5A_44 na 2. piętrze w budynku 5A w Inwestycji Nova Viva Garden Dewelopera Victoria Dom,2025-03-23,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-2-balkony-ID4upbg,3-pokojowe mieszkanie 60m2 + 2 balkony,ul. Pawła Włodkowica,Brzeziny,Białołęka,mazowieckie
otodom,2400000,24000,100.0,4.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-dwupoziomowe-mieszkanie-ID4uTKX,Sprzedam bezpośrednio dwupoziomowe mieszkanie,Zawady,Zawady,Wilanów,mazowieckie
otodom,1260122,11497,109.6,5.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/mieszkanie-5-pokojowe-109-60-m2-warszawa-wlochy-ID4o8Fx,"Mieszkanie 5-pokojowe 109,60 m2, Warszawa, Włochy",ul. Bolesława Gidzińskiego 1C,Opacz Wielka,Włochy,mazowieckie
otodom,2570000,29884,86.0,4.0,3,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-po-remoncie-winda-parking-ID4wzpj,✅ 4 pokojowe po remoncie ✅ winda ✅ parking ✅,ul. Piękna,Śródmieście Południowe,Śródmieście,mazowieckie
otodom,889440,24000,37.06,1.0,0,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/unikatowa-lokalizacja-przy-ogrodach-zamkowych-ID4wlEX,Unikatowa lokalizacja przy Ogrodach Zamkowych,ul. Bugaj,Stare Miasto,Śródmieście,mazowieckie
otodom,816000,18802,43.4,2.0,4,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-po-generalnym-remoncie-43m-ID4w09v,Nowoczesne mieszkanie po generalnym remoncie | 43m,ul. Zbigniewa Burzyńskiego,Gocław,Praga-Południe,mazowieckie
otodom,462000,13200,35.0,2.0,2,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/promocja-wykonczenie-644zl-m-ogrzewamie-podlogowe-ID4wzp3,"PROMOCJA wykończenie 644zł/m"" ogrzewamie podłogowe",Choszczówka,Choszczówka,Białołęka,mazowieckie
otodom,1130000,17656,64.0,4.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/mokotow-gorny-madalinskiego-64m2-metro-4-pokoje-ID4uGhT,"Mokotów Górny, Madalińskiego, 64m2,metro,4 pokoje",ul. Antoniego Józefa Madalińskiego,Stary Mokotów,Mokotów,mazowieckie
otodom,499960,10775,46.4,2.0,,wtórny,1,,2025-03-22,https://www.otodom.pl/pl/oferta/rezerwacja-ID4wnrm,*** REZERWACJA ***,ul. Krasnobrodzka 10,Bródno-Podgrodzie,Targówek,mazowieckie
otodom,730000,15208,48.0,2.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-mokotow-beldan-ID4q167,sprzedam mieszkanie mokotów bełdan,ul. Bełdan,Służew,Mokotów,mazowieckie
otodom,779000,16062,48.5,2.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-tarchominie-ID4wzpb,2-Pokojowe mieszkanie na Tarchominie,ul. Światowida,Tarchomin,Białołęka,mazowieckie
otodom,3248700,24500,132.6,4.0,3,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/apartament-4p-ul-stawki-taras-na-dachu-ID4u2IV,Apartament 4p ul. Stawki | Taras na dachu !,Muranów,Muranów,Śródmieście,mazowieckie
otodom,999000,14708,67.92,3.0,,wtórny,1,,2025-03-22,https://www.otodom.pl/pl/oferta/bezposrednio-mieszkanie-dwupoziomowe-na-targowku-ID4rxrQ,BEZPOŚREDNIO mieszkanie dwupoziomowe na Targówku,ul. Wyspowa 2,Zacisze,Targówek,mazowieckie
otodom,,,,,,,,,,https://www.otodom.pl/hpr/undefined,,,,,
otodom,,,86.53,4.0,3,pierwotny,1,4-pokojowe mieszkanie numer M056 na 3. piętrze w Inwestycji Stalowa Form 43.45 Dewelopera Dantex,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-86m2-balkon-bez-prowizji-ID4uSkN,4-pokojowe mieszkanie 86m2 + balkon Bez Prowizji,ul. Stalowa,Nowa Praga,Praga-Północ,mazowieckie
otodom,535000,17258,31.0,2.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/bezposrednio-31m2-srodmiescie-1-2-pokoje-ID4wqvJ,Bezpośrednio 31m2 Śródmieście 1/2 pokoje,Śródmieście Północne,Śródmieście Północne,Śródmieście,mazowieckie
