source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;779 000 zł;16 062 zł/m²;48.5;2;;wtórny;Tak;;ul. Światowida, Tarchomin, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-tarchominie-ID4wzpb;2-Pokojowe mieszkanie na Tarchominie
otodom;3 248 700 zł;24 500 zł/m²;132.6;4;3/7;wtórny;Tak;;Muranów, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/apartament-4p-ul-stawki-taras-na-dachu-ID4u2IV;Apartament 4p ul. Stawki | Taras na dachu !
otodom;579 099 zł;15 381 zł/m²;37.65;2;parter/5;pierwotny;Tak;2-pokojowe mieszkanie numer 8-15-D072 na parterze w budynku 15 w Inwestycji Miasto Moje Dewelopera RONSON DEVELOPMENT;ul. Marywilska 60, Żerań, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-ID4umNv;2-pokojowe mieszkanie 37m2 + ogródek
otodom;802 135 zł;13 630 zł/m²;58.85;3;1/4;pierwotny;Tak;;ul. Żupnicza, Grochów, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/nowe-rozne-rozklady-skm-tramwaj-pkp-ID4wqZM;Nowe // Różne Rozkłady // Skm, Tramwaj, Pkp
otodom;Zapytaj o cenę;;60.87;3;2/3;pierwotny;Tak;3-pokojowe mieszkanie numer 5A_44 na 2. piętrze w budynku 5A w Inwestycji Nova Viva Garden Dewelopera Victoria Dom;ul. Pawła Włodkowica, Brzeziny, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-2-balkony-ID4upbg;3-pokojowe mieszkanie 60m2 + 2 balkony
otodom;2 400 000 zł;24 000 zł/m²;100;4;;wtórny;Tak;;Zawady, Wilanów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-dwupoziomowe-mieszkanie-ID4uTKX;Sprzedam bezpośrednio dwupoziomowe mieszkanie
otodom;1 260 122 zł;11 497 zł/m²;109.6;5;;pierwotny;Tak;;ul. Bolesława Gidzińskiego 1C, Opacz Wielka, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/mieszkanie-5-pokojowe-109-60-m2-warszawa-wlochy-ID4o8Fx;Mieszkanie 5-pokojowe 109,60 m2, Warszawa, Włochy
otodom;2 570 000 zł;29 884 zł/m²;86;4;3/5;wtórny;Tak;;ul. Piękna, Śródmieście Południowe, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowe-po-remoncie-winda-parking-ID4wzpj;✅ 4 pokojowe po remoncie ✅ winda ✅ parking ✅
otodom;889 440 zł;24 000 zł/m²;37.06;1;parter/3;wtórny;Tak;;ul. Bugaj, Stare Miasto, Śródmieście,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/unikatowa-lokalizacja-przy-ogrodach-zamkowych-ID4wlEX;Unikatowa lokalizacja przy Ogrodach Zamkowych
otodom;816 000 zł;18 802 zł/m²;43.4;2;4/6;wtórny;Tak;;ul. Zbigniewa Burzyńskiego, Gocław, Praga-Południe,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-po-generalnym-remoncie-43m-ID4w09v;Nowoczesne mieszkanie po generalnym remoncie | 43m
otodom;462 000 zł;13 200 zł/m²;35;2;2/2;pierwotny;Tak;;Choszczówka, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/promocja-wykonczenie-644zl-m-ogrzewamie-podlogowe-ID4wzp3;"PROMOCJA wykończenie 644zł/m"" ogrzewamie podłogowe"
otodom;1 130 000 zł;17 656 zł/m²;64;4;;wtórny;Tak;;ul. Antoniego Józefa Madalińskiego, Stary Mokotów, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/mokotow-gorny-madalinskiego-64m2-metro-4-pokoje-ID4uGhT;Mokotów Górny, Madalińskiego, 64m2,metro,4 pokoje
otodom;499 960 zł;10 775 zł/m²;46.4;2;;wtórny;Tak;;ul. Krasnobrodzka 10, Bródno-Podgrodzie, Targówek,  mazowieckie;2025-03-22;https://www.otodom.pl/pl/oferta/rezerwacja-ID4wnrm;*** REZERWACJA ***
otodom;730 000 zł;15 208 zł/m²;48;2;;wtórny;Tak;;ul. Bełdan, Służew, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-mokotow-beldan-ID4q167;sprzedam mieszkanie mokotów bełdan
